DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG,2023-11,563543,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG,2023-12,631256,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2022-11,3067425,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2022-12,3617872,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-01,3294389,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-02,3367924,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-03,3918101,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-04,4370857,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-05,4458442,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-06,4515523,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-07,5151460,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-08,5148684,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-09,4855912,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-10,4932901,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-11,3461412,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH,2023-12,4093071,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2022-11,558265,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2022-12,514196,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-01,472582,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-02,453213,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-03,596554,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-04,963122,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-05,1092485,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-06,1236733,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-07,1474085,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-08,1515527,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-09,1311331,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-10,1244085,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-11,665822,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2023-12,590695,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2024-01,515273,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CY,2024-02,494240,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2022-11,774102,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2022-12,837670,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-01,671790,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-02,706022,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-03,904709,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-04,1083552,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-05,1177767,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-06,1573399,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-07,1847575,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-08,1835389,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-09,1649969,
